"# Sensor Luktvassvegen, Mosjøen - Mussere, Norway (Citizen Science project sensor.community/82574)"
# https://aqicn.org/station/@411634/
# Daily pm25
"date,min,max,median,q1,q3,stdev,count"
"2023-11-29T00:00:00.000Z,0.73,2.97,1.75,1.45,2,0.392,586"
"2023-11-30T00:00:00.000Z,0.5,9.75,1.6,1.38,1.9,0.556,587"
"2023-12-01T00:00:00.000Z,0.13,5.53,1.12,0.8,1.52,0.603,577"
"2023-12-02T00:00:00.000Z,0.03,3.92,0.68,0.43,1.05,0.569,524"
"2023-12-03T00:00:00.000Z,0,5.15,0.51,0.3,0.88,0.5,586"
"2023-12-04T00:00:00.000Z,0,3.58,0.75,0.38,1.2,0.599,586"
"2023-12-05T00:00:00.000Z,0.43,7.8,1.45,1.14,1.7,0.631,577"
"2023-12-06T00:00:00.000Z,0.45,3.65,1.2,1,1.42,0.385,585"
"2023-12-07T00:00:00.000Z,0.2,3.28,0.73,0.6,0.9,0.366,584"
"2023-12-08T00:00:00.000Z,0.1,5.4,1,0.63,1.6,0.634,582"
"2023-12-09T00:00:00.000Z,0.22,2.9,0.9,0.7,1.12,0.332,585"
"2023-12-10T00:00:00.000Z,0.6,2.6,1.3,1.12,1.52,0.32,587"
"2023-12-11T00:00:00.000Z,0.32,3.83,1.58,1.23,1.9,0.519,582"
"2023-12-12T00:00:00.000Z,0.63,2.9,1.48,1.23,1.73,0.392,577"
"2023-12-13T00:00:00.000Z,0.3,6.13,1.1,0.88,1.45,0.512,587"
"2023-12-14T00:00:00.000Z,0.13,2.58,0.7,0.47,0.95,0.391,585"
"2023-12-15T00:00:00.000Z,0.15,2.67,1.12,0.82,1.4,0.4,583"
"2023-12-16T00:00:00.000Z,0,3.83,0.97,0.4,1.9,0.882,586"
"2023-12-17T00:00:00.000Z,0.05,21.6,2.54,2.1,3,1.498,579"
"2023-12-18T00:00:00.000Z,0,4.5,1.05,0.4,1.9,0.878,505"
"2023-12-19T00:00:00.000Z,0,2.67,0.7,0.43,0.95,0.393,555"
"2023-12-20T00:00:00.000Z,0.2,3.45,0.73,0.55,0.9,0.307,483"
"2023-12-21T00:00:00.000Z,0.05,2.25,0.6,0.4,0.82,0.341,562"
