date,pm25,pm10,city,suspect_spike
2024-01-01,42.0,11.0,tromso,False
2024-01-02,23.0,9.0,tromso,False
2024-01-03,22.0,8.0,tromso,False
2024-01-04,17.0,8.0,tromso,False
2024-01-05,23.0,5.0,tromso,False
2024-01-06,18.0,5.0,tromso,False
2024-01-07,16.0,4.0,tromso,False
2024-01-08,13.0,6.0,tromso,False
2024-01-09,20.0,5.0,tromso,False
2024-01-10,18.0,7.0,tromso,False
2024-01-11,17.0,4.0,tromso,False
2024-01-12,14.0,5.0,tromso,False
2024-01-13,14.0,7.0,tromso,False
2024-01-14,23.0,10.0,tromso,False
2024-01-15,28.0,7.0,tromso,False
2024-01-16,16.0,17.0,tromso,False
2024-01-17,43.0,19.0,tromso,False
2024-01-18,46.0,21.0,tromso,False
2024-01-24,177.0,,tromso,False
2024-02-14,44.0,,tromso,False
2024-02-15,30.0,,tromso,False
2024-02-16,23.0,,tromso,False
2024-02-17,28.0,,tromso,False
2024-02-18,19.0,4.0,tromso,False
2024-02-19,14.0,7.0,tromso,False
2024-02-20,15.0,8.0,tromso,False
2024-02-21,22.0,7.0,tromso,False
2024-02-22,33.0,9.0,tromso,False
2024-02-23,36.0,6.0,tromso,False
2024-02-24,16.0,6.0,tromso,False
2024-02-25,14.0,7.0,tromso,False
2024-02-26,17.0,6.0,tromso,False
2024-02-27,10.0,27.0,tromso,False
2024-02-28,13.0,8.0,tromso,False
2024-02-29,15.0,9.0,tromso,False
2024-03-01,21.0,8.0,tromso,False
2024-03-02,19.0,7.0,tromso,False
2024-03-03,19.0,9.0,tromso,False
2024-03-04,22.0,9.0,tromso,False
2024-03-05,21.0,8.0,tromso,False
2024-03-06,20.0,,tromso,False
2024-03-08,29.0,9.0,tromso,False
2024-03-09,25.0,5.0,tromso,False
2024-03-10,17.0,8.0,tromso,False
2024-03-11,22.0,7.0,tromso,False
2024-03-12,15.0,72.0,tromso,False
2024-03-13,38.0,70.0,tromso,False
2024-03-14,53.0,8.0,tromso,False
2024-03-15,22.0,6.0,tromso,False
2024-03-16,21.0,4.0,tromso,False
2024-03-17,16.0,6.0,tromso,False
2024-03-18,16.0,7.0,tromso,False
2024-03-19,21.0,7.0,tromso,False
2024-03-20,19.0,13.0,tromso,False
2024-03-21,32.0,20.0,tromso,False
2024-03-22,27.0,33.0,tromso,False
2024-03-23,35.0,33.0,tromso,False
2024-03-24,37.0,5.0,tromso,False
2024-03-25,17.0,14.0,tromso,False
2024-03-26,24.0,26.0,tromso,False
2024-03-27,32.0,,tromso,False
2023-10-01,18.0,9.0,tromso,False
2023-10-02,13.0,22.0,tromso,False
2023-10-03,20.0,7.0,tromso,False
2023-10-04,18.0,6.0,tromso,False
2023-10-05,18.0,4.0,tromso,False
2023-10-06,14.0,6.0,tromso,False
2023-10-07,22.0,5.0,tromso,False
2023-10-08,17.0,9.0,tromso,False
2023-10-09,19.0,50.0,tromso,False
2023-10-10,83.0,54.0,tromso,False
2023-10-11,138.0,66.0,tromso,False
2023-10-12,80.0,14.0,tromso,False
2023-10-13,19.0,38.0,tromso,False
2023-10-14,20.0,10.0,tromso,False
2023-10-15,15.0,18.0,tromso,False
2023-10-16,26.0,70.0,tromso,False
2023-10-17,34.0,20.0,tromso,False
2023-10-18,29.0,8.0,tromso,False
2023-10-19,19.0,9.0,tromso,False
2023-10-20,16.0,9.0,tromso,False
2023-10-21,20.0,6.0,tromso,False
2023-10-22,17.0,44.0,tromso,False
2023-10-23,22.0,119.0,tromso,False
2023-10-24,36.0,23.0,tromso,False
2023-10-25,23.0,5.0,tromso,False
2023-10-26,15.0,11.0,tromso,False
2023-10-27,20.0,22.0,tromso,False
2023-10-28,20.0,12.0,tromso,False
2023-10-29,20.0,9.0,tromso,False
2023-10-30,19.0,7.0,tromso,False
2023-10-31,25.0,7.0,tromso,False
2023-11-01,22.0,7.0,tromso,False
2023-11-02,24.0,9.0,tromso,False
2023-11-03,32.0,7.0,tromso,False
2023-11-04,21.0,7.0,tromso,False
2023-11-05,20.0,9.0,tromso,False
2023-11-06,25.0,7.0,tromso,False
2023-11-07,21.0,7.0,tromso,False
2023-11-08,25.0,7.0,tromso,False
